Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN
Facebook post,2021-01-09 09:19:16,"AtaxiaandMe","Myoclonus‐Ataxia Syndromes: A Diagnostic Approach",,"",https://www.facebook.com/permalink.php?story_fbid=1429821397357033&id=367693750236475,"Myoclonus‐Ataxia Syndromes: A Diagnostic Approach","Movement Disorders Clinical Practice",,,Article,"06 Biological Sciences; 0604 Genetics; 11 Medical and Health Sciences; 1109 Neurosciences","National Scientific and Technical Research Council; Pontifical Catholic University of Argentina; Radboud University Nijmegen; Radboud University Nijmegen Medical Centre; University Medical Center Groningen",2020-11-03,19,https://www.altmetric.com/details/93207250,10.1002/mdc3.13106,,,,33426154,,"",,,,,
Facebook post,2020-12-26 15:02:08,"Pense Ciência","Photos from Pense Ciência's post",,"",https://www.facebook.com/permalink.php?story_fbid=1547638285425241&id=474008256121588,"Clinical and diagnostic aspects of gluten related disorders","World Journal of Clinical Cases",,,Article,"11 Medical and Health Sciences; 1111 Nutrition and Dietetics","University of Bologna",2015-01-01,42,https://www.altmetric.com/details/3813109,10.12998/wjcc.v3.i3.275,,,,25789300,PMC4360499,"",,,,,
Facebook post,2020-12-26 15:00:47,"Pense Ciência","Photos from Pense Ciência's post",,"",https://www.facebook.com/permalink.php?story_fbid=1547636848758718&id=474008256121588,"Clinical and diagnostic aspects of gluten related disorders","World Journal of Clinical Cases",,,Article,"11 Medical and Health Sciences; 1111 Nutrition and Dietetics","University of Bologna",2015-01-01,42,https://www.altmetric.com/details/3813109,10.12998/wjcc.v3.i3.275,,,,25789300,PMC4360499,"",,,,,
Facebook post,2020-12-20 15:34:37,"IBS Impact","ACG Clinical Guideline: Management of Irritable Bowel... : Official journal of the American College of Gastroenterology | ACG",,"",https://www.facebook.com/permalink.php?story_fbid=3358669387588311&id=182005435254738,"ACG Clinical Guideline: Management of Irritable Bowel Syndrome","American Journal of Gastroenterology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences","Icahn School of Medicine at Mount Sinai; Mayo Clinic; Northwestern University; University of Michigan–Ann Arbor; University of North Carolina System",2020-12-14,230,https://www.altmetric.com/details/95999995,10.14309/ajg.0000000000001036,,,,33315591,,"",,,,,
Facebook post,2020-12-20 12:25:33,"IBS Support - Education and Research","ACG Clinical Guideline: Management of Irritable Bowel... : Official journal of the American College of Gastroenterology | ACG",,"",https://www.facebook.com/permalink.php?story_fbid=3625352284219286&id=717163318371545,"ACG Clinical Guideline: Management of Irritable Bowel Syndrome","American Journal of Gastroenterology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences","Icahn School of Medicine at Mount Sinai; Mayo Clinic; Northwestern University; University of Michigan–Ann Arbor; University of North Carolina System",2020-12-14,230,https://www.altmetric.com/details/95999995,10.14309/ajg.0000000000001036,,,,33315591,,"",,,,,
Facebook post,2020-12-11 15:26:30,"Gastroenterology","Timeline Photos",,"",https://www.facebook.com/permalink.php?story_fbid=10157630221641954&id=83243506953,"Alterations in Intestinal Microbiota of Children With Celiac Disease at the Time of Diagnosis and on a Gluten-free Diet","Gastroenterology",,,Article,"11 Medical and Health Sciences; 1103 Clinical Sciences; 1109 Neurosciences; 1114 Paediatrics and Reproductive Medicine","Glasgow Royal Infirmary; Royal Hospital for Children; University of Glasgow",2020-12-01,29,https://www.altmetric.com/details/88134749,10.1053/j.gastro.2020.08.007,,,,32791131,,"",,,,,
Facebook post,2020-12-02 05:08:43,"Anne Sash - Homeopath","Association of Infant Antibiotic Exposure With Childhood Health Outcomes",,"",https://www.facebook.com/permalink.php?story_fbid=10158553851661936&id=310543301935,"Association of Infant Antibiotic Exposure With Childhood Health Outcomes","Mayo Clinic Proceedings",,,Article,"11 Medical and Health Sciences; 1117 Public Health and Health Services","Mayo Clinic; Rutgers, The State University of New Jersey",2021-01-01,614,https://www.altmetric.com/details/94353082,10.1016/j.mayocp.2020.07.019,,,,33208243,,"",,,,,
Facebook post,2020-11-22 17:07:57,"Kamego Chiropractic Wellness Center","Association of Infant Antibiotic Exposure With Childhood Health Outcomes",,"",https://www.facebook.com/permalink.php?story_fbid=10159004822241385&id=257220881384,"Association of Infant Antibiotic Exposure With Childhood Health Outcomes","Mayo Clinic Proceedings",,,Article,"11 Medical and Health Sciences; 1117 Public Health and Health Services","Mayo Clinic; Rutgers, The State University of New Jersey",2021-01-01,614,https://www.altmetric.com/details/94353082,10.1016/j.mayocp.2020.07.019,,,,33208243,,"",,,,,
Facebook post,2020-11-22 15:31:54,"Janel Gantner, Your RN Wellness Coach","Association of Infant Antibiotic Exposure With Childhood Health Outcomes",,"",https://www.facebook.com/permalink.php?story_fbid=1656225997891724&id=476204442560558,"Association of Infant Antibiotic Exposure With Childhood Health Outcomes","Mayo Clinic Proceedings",,,Article,"11 Medical and Health Sciences; 1117 Public Health and Health Services","Mayo Clinic; Rutgers, The State University of New Jersey",2021-01-01,614,https://www.altmetric.com/details/94353082,10.1016/j.mayocp.2020.07.019,,,,33208243,,"",,,,,
Facebook post,2020-11-22 13:45:03,"The Drs. Wolfson","Association of Infant Antibiotic Exposure With Childhood Health Outcomes",United States,"",https://www.facebook.com/permalink.php?story_fbid=2843343355886957&id=1428115297409777,"Association of Infant Antibiotic Exposure With Childhood Health Outcomes","Mayo Clinic Proceedings",,,Article,"11 Medical and Health Sciences; 1117 Public Health and Health Services","Mayo Clinic; Rutgers, The State University of New Jersey",2021-01-01,614,https://www.altmetric.com/details/94353082,10.1016/j.mayocp.2020.07.019,,,,33208243,,"",,,,,
