Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN
News story,2021-03-18 16:08:00,"Bustle","11 Physical Symptoms Of An Anxiety Attack You Should Know About",United States,"",http://ct.moreover.com/?a=44490054355&p=1pl&v=1&x=xJdKjSALIAoc5U8895RE_A,"Stress and the gut: pathophysiology, clinical consequences, diagnostic approach and treatment options.","Journal of Physiology and Pharmacology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences",,2011-12-01,188,https://www.altmetric.com/details/598030,,,,,22314561,,"",,,,,
News story,2021-02-22 00:27:12,"The Epoch Times","More Risks Revealed for Antibiotic Exposure in Children",United States,"",https://www.theepochtimes.com/more-risks-revealed-for-antibiotic-exposure-in-children_3698608.html,"Association of Infant Antibiotic Exposure With Childhood Health Outcomes","Mayo Clinic Proceedings",,,Article,"11 Medical and Health Sciences; 1117 Public Health and Health Services","Mayo Clinic; Rutgers, The State University of New Jersey",2021-01-01,614,https://www.altmetric.com/details/94353082,10.1016/j.mayocp.2020.07.019,,,,33208243,,"",,,,,
News story,2021-02-16 19:48:45,"Scientific American","The Dark Side of CRISPR",United States,"",http://ct.moreover.com/?a=44259034401&p=1pl&v=1&x=LAw96dPdIZkA51dikIbCXA,"Cystic Fibrosis Since 1938","American Journal of Respiratory & Critical Care Medicine",,,Article,"11 Medical and Health Sciences; 1102 Cardiorespiratory Medicine and Haematology","Case Western Reserve University",2006-03-01,22,https://www.altmetric.com/details/2055238,10.1164/rccm.200505-840oe,,,,16126935,,"",,,,,
News story,2021-02-04 06:23:00,"Biospace","Commonwealth Diagnostics International, Inc.'s IBSchek® Granted PLA Code from AMA; Company to Now Accept Insurance, Providing More Patients At-Home Access",United States,"",http://ct.moreover.com/?a=44166570420&p=1pl&v=1&x=TfAJdrTTr8l67mIfByhnIg,"ACG Clinical Guideline: Management of Irritable Bowel Syndrome","American Journal of Gastroenterology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences","Icahn School of Medicine at Mount Sinai; Mayo Clinic; Northwestern University; University of Michigan–Ann Arbor; University of North Carolina System",2020-12-14,230,https://www.altmetric.com/details/95999995,10.14309/ajg.0000000000001036,,,,33315591,,"",,,,,
News story,2021-02-03 13:15:08,"Finanzen.ch","Commonwealth Diagnostics International, Inc.'s IBSchek® Granted PLA Code from AMA; Company to Now Accept Insurance, Providing More Patients At-Home Access",Switzerland,"",http://ct.moreover.com/?a=44159686157&p=1pl&v=1&x=MSqX_9VjN4rdjeqq4bDzeQ,"ACG Clinical Guideline: Management of Irritable Bowel Syndrome","American Journal of Gastroenterology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences","Icahn School of Medicine at Mount Sinai; Mayo Clinic; Northwestern University; University of Michigan–Ann Arbor; University of North Carolina System",2020-12-14,230,https://www.altmetric.com/details/95999995,10.14309/ajg.0000000000001036,,,,33315591,,"",,,,,
News story,2021-02-03 13:09:19,"ProfitQuotes.com","Commonwealth Diagnostics International, Inc.'s IBSchek® Granted PLA Code from AMA; Company to Now Accept Insurance, Providing More Patients At-Home Access",United States,"",http://ct.moreover.com/?a=44159641232&p=1pl&v=1&x=cXsGkxMf_FpHaaRLWc8HnA,"ACG Clinical Guideline: Management of Irritable Bowel Syndrome","American Journal of Gastroenterology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences","Icahn School of Medicine at Mount Sinai; Mayo Clinic; Northwestern University; University of Michigan–Ann Arbor; University of North Carolina System",2020-12-14,230,https://www.altmetric.com/details/95999995,10.14309/ajg.0000000000001036,,,,33315591,,"",,,,,
News story,2021-02-03 13:00:00,"KPVI","Commonwealth Diagnostics International, Inc.'s IBSchek® Granted PLA Code from AMA; Company to Now Accept Insurance, Providing More Patients At-Home Access",United States,"",http://ct.moreover.com/?a=44159946798&p=1pl&v=1&x=GSZPdshvYvYH5plLW2D2HQ,"ACG Clinical Guideline: Management of Irritable Bowel Syndrome","American Journal of Gastroenterology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences","Icahn School of Medicine at Mount Sinai; Mayo Clinic; Northwestern University; University of Michigan–Ann Arbor; University of North Carolina System",2020-12-14,230,https://www.altmetric.com/details/95999995,10.14309/ajg.0000000000001036,,,,33315591,,"",,,,,
News story,2021-02-03 13:00:00,"Morning Star","Commonwealth Diagnostics International, Inc.'s IBSchek® Granted PLA Code from AMA; Company to Now Accept Insurance, Providing More Patients At-Home Access",United States,"",http://ct.moreover.com/?a=44159686452&p=1pl&v=1&x=d7o0kpIinkmoJbOfRk00MA,"ACG Clinical Guideline: Management of Irritable Bowel Syndrome","American Journal of Gastroenterology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences","Icahn School of Medicine at Mount Sinai; Mayo Clinic; Northwestern University; University of Michigan–Ann Arbor; University of North Carolina System",2020-12-14,230,https://www.altmetric.com/details/95999995,10.14309/ajg.0000000000001036,,,,33315591,,"",,,,,
News story,2021-02-03 13:00:00,"Yahoo! Finance USA","Commonwealth Diagnostics International, Inc.'s IBSchek® Granted PLA Code from AMA; Company to Now Accept Insurance, Providing More Patients At-Home Access",United States,"",http://ct.moreover.com/?a=44159680711&p=1pl&v=1&x=lqYRu6itT8b7vdXJbXrJPg,"ACG Clinical Guideline: Management of Irritable Bowel Syndrome","American Journal of Gastroenterology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences","Icahn School of Medicine at Mount Sinai; Mayo Clinic; Northwestern University; University of Michigan–Ann Arbor; University of North Carolina System",2020-12-14,230,https://www.altmetric.com/details/95999995,10.14309/ajg.0000000000001036,,,,33315591,,"",,,,,
News story,2021-02-03 13:00:00,"WFMZ-TV 69","Commonwealth Diagnostics International, Inc.'s IBSchek® Granted PLA Code from AMA; Company to Now Accept Insurance, Providing More Patients At-Home Access",United States,"",http://ct.moreover.com/?a=44159748232&p=1pl&v=1&x=Cx_PZPqMrLEtZNca06no5g,"ACG Clinical Guideline: Management of Irritable Bowel Syndrome","American Journal of Gastroenterology",,,Article,"11 Medical and Health Sciences; 1109 Neurosciences","Icahn School of Medicine at Mount Sinai; Mayo Clinic; Northwestern University; University of Michigan–Ann Arbor; University of North Carolina System",2020-12-14,230,https://www.altmetric.com/details/95999995,10.14309/ajg.0000000000001036,,,,33315591,,"",,,,,
